Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
diffusion_step_fp16.onnx,2087,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,2095,MatMul,"inputs=[1, 46, 768], [768, 128] -> outputs=[1, 46, 128]",9043968
diffusion_step_fp16.onnx,2096,MatMul,"inputs=[1, 352, 46], [1, 46, 128] -> outputs=[1, 352, 128]",4145152
diffusion_step_fp16.onnx,2107,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2111,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2114,Einsum,"inputs=[1, 22, 16, 128], [22, 88] -> outputs=[1, 88, 16, 128]",7929856
diffusion_step_fp16.onnx,2116,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2119,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2121,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2123,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2125,Einsum,"inputs=[11, 32, 4, 32], [11, 128, 4, 32] -> outputs=[11, 4, 32, 128]",11534336
diffusion_step_fp16.onnx,2130,Softmax,"inputs=[11, 4, 32, 128] -> outputs=[11, 4, 32, 128]",901120
diffusion_step_fp16.onnx,2132,Einsum,"inputs=[11, 4, 32, 128], [11, 128, 4, 32] -> outputs=[11, 32, 4, 32]",11534336
diffusion_step_fp16.onnx,2135,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2146,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2150,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2152,MatMul,"inputs=[11, 32, 128], [128, 512] -> outputs=[11, 32, 512]",46137344
diffusion_step_fp16.onnx,2157,MatMul,"inputs=[11, 32, 128], [128, 256] -> outputs=[11, 32, 256]",23068672
diffusion_step_fp16.onnx,2159,MatMul,"inputs=[11, 32, 256], [256, 128] -> outputs=[11, 32, 128]",23068672
diffusion_step_fp16.onnx,2170,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2174,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2177,Einsum,"inputs=[1, 22, 16, 128], [22, 88] -> outputs=[1, 88, 16, 128]",7929856
diffusion_step_fp16.onnx,2179,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2182,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2184,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2186,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2188,Einsum,"inputs=[11, 32, 4, 32], [11, 128, 4, 32] -> outputs=[11, 4, 32, 128]",11534336
diffusion_step_fp16.onnx,2193,Softmax,"inputs=[11, 4, 32, 128] -> outputs=[11, 4, 32, 128]",901120
diffusion_step_fp16.onnx,2195,Einsum,"inputs=[11, 4, 32, 128], [11, 128, 4, 32] -> outputs=[11, 32, 4, 32]",11534336
diffusion_step_fp16.onnx,2198,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2209,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2213,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2215,MatMul,"inputs=[11, 32, 128], [128, 512] -> outputs=[11, 32, 512]",46137344
diffusion_step_fp16.onnx,2220,MatMul,"inputs=[11, 32, 128], [128, 256] -> outputs=[11, 32, 256]",23068672
diffusion_step_fp16.onnx,2222,MatMul,"inputs=[11, 32, 256], [256, 128] -> outputs=[11, 32, 128]",23068672
diffusion_step_fp16.onnx,2233,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2237,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2240,Einsum,"inputs=[1, 22, 16, 128], [22, 88] -> outputs=[1, 88, 16, 128]",7929856
diffusion_step_fp16.onnx,2242,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2245,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2247,MatMul,"inputs=[11, 128, 128], [128, 128] -> outputs=[11, 128, 128]",46137344
diffusion_step_fp16.onnx,2249,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2251,Einsum,"inputs=[11, 32, 4, 32], [11, 128, 4, 32] -> outputs=[11, 4, 32, 128]",11534336
diffusion_step_fp16.onnx,2256,Softmax,"inputs=[11, 4, 32, 128] -> outputs=[11, 4, 32, 128]",901120
diffusion_step_fp16.onnx,2258,Einsum,"inputs=[11, 4, 32, 128], [11, 128, 4, 32] -> outputs=[11, 32, 4, 32]",11534336
diffusion_step_fp16.onnx,2261,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2272,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2276,MatMul,"inputs=[11, 32, 128], [128, 128] -> outputs=[11, 32, 128]",11534336
diffusion_step_fp16.onnx,2278,MatMul,"inputs=[11, 32, 128], [128, 512] -> outputs=[11, 32, 512]",46137344
diffusion_step_fp16.onnx,2283,MatMul,"inputs=[11, 32, 128], [128, 256] -> outputs=[11, 32, 256]",23068672
diffusion_step_fp16.onnx,2285,MatMul,"inputs=[11, 32, 256], [256, 128] -> outputs=[11, 32, 128]",23068672
diffusion_step_fp16.onnx,2294,MatMul,"inputs=[1, 352, 128], [128, 3] -> outputs=[1, 352, 3]",270336
