Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
trunk_fp16.onnx,10932,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10933,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10943,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,10946,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10950,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,10952,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,10956,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10966,MatMul,"inputs=[1, 46, 46, 128], [128, 4] -> outputs=[1, 46, 46, 4]",2166784
trunk_fp16.onnx,10971,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10972,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10973,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10983,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,10986,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,10990,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,10992,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,10996,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,11006,MatMul,"inputs=[1, 46, 46, 128], [128, 512] -> outputs=[1, 46, 46, 512]",277348352
trunk_fp16.onnx,11009,MatMul,"inputs=[1, 46, 46, 128], [128, 512] -> outputs=[1, 46, 46, 512]",277348352
trunk_fp16.onnx,11011,MatMul,"inputs=[1, 46, 46, 512], [512, 128] -> outputs=[1, 46, 46, 128]",277348352
trunk_fp16.onnx,11018,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,11021,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,11023,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,11025,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,11027,Einsum,"inputs=[1, 46, 16, 24], [1, 46, 16, 24] -> outputs=[1, 16, 46, 46]",1625088
trunk_fp16.onnx,11034,MatMul,"inputs=[1, 46, 46, 128], [128, 16] -> outputs=[1, 46, 46, 16]",8667136
trunk_fp16.onnx,11042,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
trunk_fp16.onnx,11044,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 24] -> outputs=[1, 46, 16, 24]",1625088
trunk_fp16.onnx,11047,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,11054,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,11057,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,11059,MatMul,"inputs=[1, 46, 1536], [1536, 384] -> outputs=[1, 46, 384]",54263808
trunk_fp16.onnx,11066,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,11067,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,11072,Einsum,"inputs=[1, 46, 46, 128], [1, 46, 46, 128] -> outputs=[1, 46, 46, 128]",24918016
